Sector,Salary Group,Employment Group,Components,Year,Contents Men,Contents Women,Difference,Difference in procents
Government including social security funds,Fixed salary-earners,Employees,Basic earnings in DKK per standard hour,2013,217.84,209.29,8.550000000000011,3.92
Government including social security funds,Fixed salary-earners,Employees,"Lower quartile, standardized earnings",2013,210.46,201.68,8.780000000000001,4.17
Government including social security funds,Fixed salary-earners,Employees,"Median, standardized hourly earnings",2013,249.67,238.17,11.5,4.61
Government including social security funds,Fixed salary-earners,Employees,"Upper quartile, standardized hourly earnings",2013,298.66,284.28,14.380000000000052,4.81
Government including social security funds,Fixed salary-earners,Employees,STANDARDIZED MONTHLY EARNINGS,2013,42231.8,39946.6,2285.2000000000044,5.41
Government including social security funds,Fixed salary-earners,Employees,Number of fulltime employees in the earnings statistics,2013,81218.0,65439.0,15779.0,19.43
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,253.44,242.86,10.579999999999984,4.17
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,0.2,0.19,0.010000000000000009,5.0
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,33.5,33.71,-0.21000000000000085,-0.63
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,210.93,204.42,6.510000000000019,3.09
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,207.22,200.47,6.75,3.26
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level","Median, standardized hourly earnings",2013,245.65,235.15,10.5,4.27
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,289.98,278.35,11.629999999999995,4.01
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,40633.39,38937.97,1695.4199999999983,4.17
Government including social security funds,Fixed salary-earners,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,67484.0,61084.0,6400.0,9.48
Municipal and regional government total,All forms of pay,General managers,STANDARDIZED HOURLY EARNINGS,2013,394.83,313.14,81.69,20.69
Municipal and regional government total,All forms of pay,General managers,Fringe benefits in DKK per standard hour,2013,0.31,0.22,0.09,29.03
Municipal and regional government total,All forms of pay,General managers,Pension including ATP in DKK per standard hour,2013,58.05,44.88,13.169999999999995,22.69
Municipal and regional government total,All forms of pay,General managers,Basic earnings in DKK per standard hour,2013,316.75,260.28,56.47000000000003,17.83
Municipal and regional government total,All forms of pay,General managers,"Lower quartile, standardized earnings",2013,284.78,248.58,36.19999999999996,12.71
Municipal and regional government total,All forms of pay,General managers,"Median, standardized hourly earnings",2013,355.4,280.38,75.01999999999998,21.11
Municipal and regional government total,All forms of pay,General managers,"Upper quartile, standardized hourly earnings",2013,497.57,341.94,155.63,31.28
Municipal and regional government total,All forms of pay,General managers,STANDARDIZED MONTHLY EARNINGS,2013,63303.54,50206.1,13097.440000000002,20.69
Municipal and regional government total,All forms of pay,General managers,Number of fulltime employees in the earnings statistics,2013,13297.0,21650.0,-8353.0,-62.82
Municipal and regional government total,All forms of pay,Employees,STANDARDIZED HOURLY EARNINGS,2013,244.81,216.41,28.400000000000006,11.6
Municipal and regional government total,All forms of pay,Employees,Fringe benefits in DKK per standard hour,2013,0.11,0.05,0.06,54.55
Municipal and regional government total,All forms of pay,Employees,Pension including ATP in DKK per standard hour,2013,32.32,27.37,4.949999999999999,15.32
Municipal and regional government total,All forms of pay,Employees,Basic earnings in DKK per standard hour,2013,202.38,180.05,22.329999999999984,11.03
Municipal and regional government total,All forms of pay,Employees,"Lower quartile, standardized earnings",2013,190.7,183.67,7.030000000000001,3.69
Municipal and regional government total,All forms of pay,Employees,"Median, standardized hourly earnings",2013,222.18,210.27,11.909999999999997,5.36
Municipal and regional government total,All forms of pay,Employees,"Upper quartile, standardized hourly earnings",2013,266.43,236.24,30.189999999999998,11.33
Municipal and regional government total,All forms of pay,Employees,STANDARDIZED MONTHLY EARNINGS,2013,39251.16,34697.5,4553.6600000000035,11.6
Municipal and regional government total,All forms of pay,Employees,Number of fulltime employees in the earnings statistics,2013,105877.0,358543.0,-252666.0,-238.64
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,222.65,209.87,12.780000000000001,5.74
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,0.08,0.03,0.05,62.5
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,28.52,26.19,2.3299999999999983,8.17
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,185.48,174.62,10.859999999999985,5.86
Municipal and regional government total,All forms of pay,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,186.35,181.86,4.489999999999981,2.41
Municipal and regional government total,All forms of pay,"Employees, non-managerial level","Median, standardized hourly earnings",2013,215.32,207.63,7.689999999999998,3.57
Municipal and regional government total,All forms of pay,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,249.98,230.66,19.319999999999993,7.73
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,35697.17,33647.78,2049.3899999999994,5.74
Municipal and regional government total,All forms of pay,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,92580.0,336893.0,-244313.0,-263.89
Municipal and regional government total,Workers paid by the hour,General managers,STANDARDIZED HOURLY EARNINGS,2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,Fringe benefits in DKK per standard hour,2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,Pension including ATP in DKK per standard hour,2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,Basic earnings in DKK per standard hour,2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,"Lower quartile, standardized earnings",2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,"Median, standardized hourly earnings",2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,"Upper quartile, standardized hourly earnings",2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,STANDARDIZED MONTHLY EARNINGS,2013,,,,
Municipal and regional government total,Workers paid by the hour,General managers,Number of fulltime employees in the earnings statistics,2013,7.0,4.0,3.0,42.86
Municipal and regional government total,Workers paid by the hour,Employees,STANDARDIZED HOURLY EARNINGS,2013,175.82,175.93,-0.11000000000001364,-0.06
Municipal and regional government total,Workers paid by the hour,Employees,Fringe benefits in DKK per standard hour,2013,0.0,0.0,0.0,
Municipal and regional government total,Workers paid by the hour,Employees,Pension including ATP in DKK per standard hour,2013,7.44,9.02,-1.5799999999999992,-21.24
Municipal and regional government total,Workers paid by the hour,Employees,Basic earnings in DKK per standard hour,2013,148.07,143.51,4.560000000000002,3.08
Municipal and regional government total,Workers paid by the hour,Employees,"Lower quartile, standardized earnings",2013,143.61,144.75,-1.1399999999999864,-0.79
